ch	pt	fine_thr	a_fit	b_fit
 5	 5	 6	217.929	0.405
 5	 5	 7	216.753	0.671
 5	 6	 0	224.182	0.326
 5	 6	 1	222.998	0.306
 5	 6	 2	222.027	0.364
 5	 6	 3	220.841	0.486
 5	 6	 4	219.926	0.431
 5	 6	 5	218.874	0.241
 5	 6	 6	217.978	0.437
 5	 6	 7	216.813	0.741
 5	 7	 0	224.176	0.320
 5	 7	 1	222.969	0.310
 5	 7	 2	222.044	0.319
 5	 7	 3	220.800	0.416
 5	 7	 4	220.013	0.444
 5	 7	 5	218.830	0.331
 5	 7	 6	217.936	0.473
 5	 7	 7	216.752	0.629
 6	 0	 0	216.494	0.442
 6	 0	 1	215.288	0.552
 6	 0	 2	214.350	0.508
 6	 0	 3	213.214	0.547
 6	 0	 4	212.389	0.613
 6	 0	 5	211.185	0.594
 6	 0	 6	210.212	0.564
 6	 0	 7	209.038	0.666
 6	 1	 0	216.416	0.365
 6	 1	 1	215.292	0.448
 6	 1	 2	214.364	0.436
 6	 1	 3	213.235	0.536
 6	 1	 4	212.260	0.588
 6	 1	 5	211.186	0.517
 6	 1	 6	210.148	0.561
 6	 1	 7	208.976	0.838
 6	 2	 0	216.392	0.338
 6	 2	 1	215.277	0.430
 6	 2	 2	214.338	0.386
 6	 2	 3	213.195	0.586
 6	 2	 4	212.300	0.530
 6	 2	 5	211.244	0.450
 6	 2	 6	210.157	0.510
 6	 2	 7	208.982	0.957
 6	 3	 0	216.375	0.337
 6	 3	 1	215.318	0.384
 6	 3	 2	214.352	0.421
 6	 3	 3	213.226	0.569
 6	 3	 4	212.273	0.555
 6	 3	 5	211.146	0.477
 6	 3	 6	210.152	0.496
 6	 3	 7	209.009	1.018
 6	 4	 0	216.423	0.309
 6	 4	 1	215.272	0.343
 6	 4	 2	214.301	0.347
 6	 4	 3	213.222	0.576
 6	 4	 4	212.309	0.542
 6	 4	 5	211.149	0.399
 6	 4	 6	210.171	0.448
 6	 4	 7	208.958	0.944
 6	 5	 0	216.412	0.333
 6	 5	 1	215.307	0.319
 6	 5	 2	214.269	0.352
 6	 5	 3	213.204	0.562
 6	 5	 4	212.227	0.568
 6	 5	 5	211.142	0.390
 6	 5	 6	210.159	0.507
 6	 5	 7	209.035	0.966
 6	 6	 0	216.426	0.325
 6	 6	 1	215.271	0.308
 6	 6	 2	214.268	0.337
 6	 6	 3	213.226	0.566
 6	 6	 4	212.286	0.531
 6	 6	 5	211.131	0.385
 6	 6	 6	210.169	0.530
 6	 6	 7	209.082	0.885
 6	 7	 0	216.434	0.315
 6	 7	 1	215.321	0.320
 6	 7	 2	214.346	0.322
 6	 7	 3	213.147	0.557
 6	 7	 4	212.245	0.516
 6	 7	 5	211.128	0.329
 6	 7	 6	210.194	0.495
 6	 7	 7	209.057	0.853
 7	 0	 0	223.073	0.562
 7	 0	 1	222.032	0.680
 7	 0	 2	220.988	0.673
 7	 0	 3	219.943	0.672
 7	 0	 4	218.996	0.759
 7	 0	 5	217.935	0.655
 7	 0	 6	216.972	0.685
 7	 0	 7	215.880	0.799
 7	 1	 0	223.072	0.410
 7	 1	 1	221.992	0.593
 7	 1	 2	220.985	0.583
 7	 1	 3	219.905	0.626
 7	 1	 4	218.900	0.706
 7	 1	 5	217.931	0.602
 7	 1	 6	216.985	0.639
 7	 1	 7	215.877	0.919
 7	 2	 0	223.085	0.386
 7	 2	 1	222.000	0.548
 7	 2	 2	220.939	0.500
 7	 2	 3	219.887	0.673
 7	 2	 4	218.935	0.664
 7	 2	 5	217.870	0.532
 7	 2	 6	216.854	0.567
 7	 2	 7	215.915	1.140
 7	 3	 0	223.085	0.344
 7	 3	 1	222.009	0.514
 7	 3	 2	220.985	0.512
 7	 3	 3	219.877	0.679
 7	 3	 4	218.891	0.658
 7	 3	 5	217.836	0.460
 7	 3	 6	216.918	0.575
 7	 3	 7	215.844	1.167
 7	 4	 0	223.076	0.299
 7	 4	 1	221.929	0.426
 7	 4	 2	220.923	0.405
 7	 4	 3	219.847	0.669
 7	 4	 4	218.926	0.655
 7	 4	 5	217.888	0.449
 7	 4	 6	216.964	0.584
 7	 4	 7	215.834	1.131
 7	 5	 0	223.081	0.377
 7	 5	 1	221.993	0.393
 7	 5	 2	220.984	0.415
 7	 5	 3	219.948	0.687
 7	 5	 4	218.904	0.617
 7	 5	 5	217.846	0.373
 7	 5	 6	216.930	0.607
 7	 5	 7	215.850	1.151
 7	 6	 0	223.036	0.354
 7	 6	 1	221.973	0.313
 7	 6	 2	220.990	0.346
 7	 6	 3	219.854	0.673
 7	 6	 4	218.902	0.587
 7	 6	 5	217.881	0.360
 7	 6	 6	216.940	0.607
 7	 6	 7	215.838	1.123
 7	 7	 0	223.046	0.306
 7	 7	 1	222.036	0.290
 7	 7	 2	220.974	0.328
 7	 7	 3	219.932	0.621
 7	 7	 4	218.913	0.596
 7	 7	 5	217.886	0.366
 7	 7	 6	216.940	0.687
 7	 7	 7	215.843	0.987
 8	 0	 0	219.974	0.492
 8	 0	 1	218.852	0.654
 8	 0	 2	217.898	0.690
 8	 0	 3	216.893	0.731
 8	 0	 4	216.034	0.833
 8	 0	 5	214.823	0.689
 8	 0	 6	213.916	0.707
 8	 0	 7	212.839	0.803
 8	 1	 0	219.930	0.409
 8	 1	 1	218.852	0.575
 8	 1	 2	217.889	0.594
 8	 1	 3	216.848	0.667
 8	 1	 4	216.022	0.793
 8	 1	 5	214.928	0.649
 8	 1	 6	213.859	0.633
 8	 1	 7	212.763	1.065
 8	 2	 0	219.892	0.396
 8	 2	 1	218.799	0.520
 8	 2	 2	217.887	0.540
 8	 2	 3	216.744	0.658
 8	 2	 4	216.010	0.804
 8	 2	 5	214.889	0.583
 8	 2	 6	213.803	0.620
 8	 2	 7	212.760	1.247
 8	 3	 0	219.910	0.388
 8	 3	 1	218.815	0.497
 8	 3	 2	217.854	0.496
 8	 3	 3	216.775	0.705
 8	 3	 4	216.029	0.802
 8	 3	 5	214.847	0.592
 8	 3	 6	213.815	0.577
 8	 3	 7	212.792	1.214
 8	 4	 0	219.871	0.411
 8	 4	 1	218.840	0.435
 8	 4	 2	217.904	0.483
 8	 4	 3	216.769	0.793
 8	 4	 4	216.016	0.799
 8	 4	 5	214.801	0.538
 8	 4	 6	213.818	0.638
 8	 4	 7	212.718	1.304
 8	 5	 0	219.876	0.491
 8	 5	 1	218.834	0.448
 8	 5	 2	217.897	0.479
 8	 5	 3	216.764	0.770
 8	 5	 4	215.913	0.735
 8	 5	 5	214.815	0.543
 8	 5	 6	213.768	0.702
 8	 5	 7	212.698	1.284
 8	 6	 0	219.856	0.456
